,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,RainingDays,fruitset,yield
40,40,25.0,0.25,0.25,0.25,0.38,86.0,16.0,0.443419908,4870.625368
493,493,25.0,0.5,0.25,0.38,0.75,86.0,24.0,0.467156853,5424.123512
489,489,25.0,0.5,0.25,0.38,0.75,86.0,16.0,0.506260198,6117.4759
593,593,25.0,0.5,0.25,0.63,0.75,77.4,16.0,0.506793789,6493.637124
425,425,12.5,0.25,0.38,0.5,0.63,94.6,24.0,0.509933842,5898.015732
8,8,37.5,0.75,0.25,0.25,0.25,77.4,16.0,0.427977027,4234.868585
113,113,12.5,0.25,0.25,0.25,0.63,69.7,24.0,0.532704207,6480.80815
558,558,25.0,0.5,0.25,0.63,0.5,86.0,34.0,0.386518419,4125.757119
401,401,12.5,0.25,0.38,0.38,0.75,69.7,24.0,0.551891558,7298.002602
734,734,25.0,0.5,0.38,0.5,0.75,86.0,34.0,0.450102564,5033.685563
204,204,12.5,0.25,0.25,0.38,0.75,77.4,1.0,0.617868887,8212.792891
202,202,12.5,0.25,0.25,0.38,0.75,94.6,34.0,0.417072864,4393.527431
585,585,25.0,0.5,0.25,0.63,0.75,86.0,16.0,0.517993775,6182.750871
428,428,12.5,0.25,0.38,0.5,0.63,77.4,1.0,0.62818447,8489.691924
667,667,25.0,0.5,0.38,0.38,0.63,94.6,16.0,0.51884433,6226.285142
55,55,12.5,0.25,0.25,0.25,0.25,86.0,24.0,0.466974086,4999.156215
75,75,12.5,0.25,0.25,0.25,0.38,77.4,16.0,0.567975637,7016.89385
263,263,12.5,0.25,0.25,0.63,0.5,86.0,24.0,0.532627825,6255.890642
1,1,37.5,0.75,0.25,0.25,0.25,86.0,1.0,0.444254359,4947.605663
443,443,12.5,0.25,0.38,0.5,0.75,77.4,16.0,0.621810512,8173.589103
458,458,25.0,0.5,0.25,0.38,0.5,86.0,1.0,0.517723246,6392.356672
771,771,20.0,0.0,0.058,0.409,0.117,86.0,3.77,0.33592747,3471.192143
671,671,25.0,0.5,0.38,0.38,0.63,94.6,24.0,0.41016336,4560.22361
668,668,25.0,0.5,0.38,0.38,0.63,94.6,1.0,0.538550337,6643.901898
79,79,12.5,0.25,0.25,0.25,0.38,77.4,24.0,0.52391434,6030.980735
772,772,10.0,0.537,0.117,0.409,0.058,86.0,3.77,0.486814739,5333.873335
103,103,12.5,0.25,0.25,0.25,0.63,86.0,24.0,0.540978199,6443.256903
351,351,12.5,0.25,0.25,0.75,0.75,77.4,24.0,0.578887446,7183.10038
500,500,25.0,0.5,0.25,0.38,0.75,69.7,1.0,0.473688611,5948.114471
770,770,20.0,0.0,0.293,0.234,0.058,86.0,3.77,0.497503209,5449.421199
266,266,12.5,0.25,0.25,0.63,0.5,94.6,34.0,0.396762494,4042.842643
686,686,25.0,0.5,0.38,0.38,0.75,86.0,34.0,0.446141264,5004.154338
451,451,12.5,0.25,0.38,0.63,0.5,86.0,16.0,0.612209289,7884.567722
632,632,25.0,0.5,0.25,0.75,0.63,69.7,34.0,0.390657895,4163.823044
404,404,12.5,0.25,0.38,0.5,0.5,86.0,1.0,0.632108665,8408.383412
729,729,25.0,0.5,0.38,0.5,0.75,86.0,16.0,0.548124898,6754.448935
535,535,25.0,0.5,0.25,0.5,0.63,69.7,24.0,0.426173511,4924.357362
316,316,12.5,0.25,0.25,0.75,0.5,77.4,1.0,0.593029845,7639.547887
681,681,25.0,0.5,0.38,0.38,0.75,86.0,16.0,0.546003143,6580.396963
592,592,25.0,0.5,0.25,0.63,0.75,94.6,34.0,0.350874635,3511.537898
389,389,12.5,0.25,0.38,0.38,0.75,94.6,16.0,0.623063206,8166.597859
692,692,25.0,0.5,0.38,0.38,0.75,69.7,1.0,0.495987728,6449.041569
563,563,25.0,0.5,0.25,0.63,0.5,69.7,16.0,0.458246439,5628.710525
590,590,25.0,0.5,0.25,0.63,0.75,86.0,34.0,0.420206355,4808.609022
302,302,12.5,0.25,0.25,0.63,0.75,69.7,1.0,0.524577301,6614.219308
145,145,12.5,0.25,0.25,0.38,0.25,69.7,24.0,0.489326401,5674.028523
356,356,12.5,0.25,0.38,0.38,0.5,86.0,1.0,0.641480254,8711.208961
355,355,12.5,0.25,0.38,0.38,0.5,86.0,16.0,0.621376432,8134.726547
409,409,12.5,0.25,0.38,0.5,0.5,94.6,24.0,0.481328623,5504.750825
776,776,20.0,0.537,0.117,0.409,0.058,89.0,24.0,0.384646205,3943.131681
18,18,37.5,0.25,0.25,0.25,0.25,94.6,34.0,0.233554492,1945.530615
757,757,25.0,0.5,0.38,0.63,0.5,77.4,24.0,0.5138891,6180.951419
240,240,12.5,0.25,0.25,0.5,0.63,77.4,34.0,0.561296524,6735.24371
761,761,20.0,6.64,0.0,0.0,0.0,86.0,3.77,0.508675267,4936.36477
553,553,25.0,0.5,0.25,0.63,0.5,86.0,16.0,0.494493206,5942.421625
441,441,12.5,0.25,0.38,0.5,0.75,94.6,24.0,0.506190323,5807.006933
50,50,25.0,0.25,0.25,0.25,0.38,69.7,16.0,0.429092481,4705.626533
567,567,25.0,0.5,0.25,0.63,0.5,69.7,24.0,0.429580755,4945.794431
627,627,25.0,0.5,0.25,0.75,0.63,69.7,16.0,0.444479717,5388.50369
561,561,25.0,0.5,0.25,0.63,0.5,77.4,16.0,0.496019026,6292.429621
242,242,12.5,0.25,0.25,0.5,0.63,69.7,34.0,0.46555863,5322.840434
39,39,25.0,0.25,0.25,0.25,0.25,69.7,34.0,0.337022711,3182.698648
241,241,12.5,0.25,0.25,0.5,0.63,69.7,24.0,0.538371386,6771.722906
268,268,12.5,0.25,0.25,0.63,0.5,77.4,1.0,0.596753394,7690.174905
531,531,25.0,0.5,0.25,0.5,0.63,69.7,16.0,0.450822025,5336.974729
10,10,37.5,0.75,0.25,0.25,0.25,69.7,16.0,0.379906235,4057.555205
641,641,25.0,0.5,0.25,0.75,0.75,77.4,16.0,0.509158377,6236.707106
68,68,12.5,0.25,0.25,0.25,0.38,86.0,1.0,0.58704878,7267.28344
258,258,12.5,0.25,0.25,0.5,0.75,69.7,34.0,0.47960301,5830.488555
735,735,25.0,0.5,0.38,0.5,0.75,94.6,24.0,0.436893878,5009.962222
492,492,25.0,0.5,0.25,0.38,0.75,94.6,1.0,0.519184034,6325.266131
415,415,12.5,0.25,0.38,0.5,0.5,77.4,24.0,0.594836828,7441.509419
479,479,25.0,0.5,0.25,0.38,0.63,94.6,24.0,0.364564858,3723.523376
2,2,37.5,0.75,0.25,0.25,0.25,94.6,16.0,0.383786508,3866.798965
769,769,20.0,0.0,0.0,0.0,0.585,86.0,3.77,0.361519212,4254.825135
403,403,12.5,0.25,0.38,0.5,0.5,86.0,16.0,0.615611893,8007.206207
382,382,12.5,0.25,0.38,0.38,0.63,69.7,1.0,0.573204799,7555.171595
417,417,12.5,0.25,0.38,0.5,0.5,69.7,24.0,0.545562834,6979.324788
210,210,12.5,0.25,0.25,0.38,0.75,69.7,34.0,0.468921469,5548.122012
385,385,12.5,0.25,0.38,0.38,0.63,69.7,24.0,0.564981991,7219.760394
283,283,12.5,0.25,0.25,0.63,0.63,77.4,16.0,0.583378727,7425.751937
252,252,12.5,0.25,0.25,0.5,0.75,77.4,1.0,0.608455265,7858.685578
255,255,12.5,0.25,0.25,0.5,0.75,77.4,24.0,0.574796304,7172.435009
718,718,25.0,0.5,0.38,0.5,0.63,86.0,34.0,0.440473059,4926.279024
250,250,12.5,0.25,0.25,0.5,0.75,94.6,34.0,0.437188153,4745.460284
367,367,12.5,0.25,0.38,0.38,0.5,77.4,24.0,0.598814008,7510.790568
331,331,12.5,0.25,0.25,0.75,0.63,77.4,16.0,0.586602539,7428.834423
239,239,12.5,0.25,0.25,0.5,0.63,77.4,24.0,0.576469662,7162.433638
419,419,12.5,0.25,0.38,0.5,0.63,86.0,16.0,0.625727004,8116.531753
703,703,25.0,0.5,0.38,0.5,0.5,94.6,24.0,0.410849197,4489.22384
193,193,12.5,0.25,0.25,0.38,0.63,69.7,24.0,0.50831235,6188.477141
251,251,12.5,0.25,0.25,0.5,0.75,77.4,16.0,0.603493403,7713.479598
672,672,25.0,0.5,0.38,0.38,0.63,94.6,34.0,0.378917495,3983.097848
526,526,25.0,0.5,0.25,0.5,0.63,86.0,34.0,0.379102775,4162.761559
71,71,12.5,0.25,0.25,0.25,0.38,86.0,24.0,0.489823352,5347.718939
49,49,25.0,0.25,0.25,0.25,0.38,77.4,1.0,0.515771805,6318.708722
215,215,12.5,0.25,0.25,0.5,0.5,86.0,24.0,0.535877448,6368.849821
620,620,25.0,0.5,0.25,0.75,0.63,94.6,1.0,0.507115625,6315.233209
501,501,25.0,0.5,0.25,0.38,0.75,77.4,24.0,0.476807761,5429.681612
37,37,25.0,0.25,0.25,0.25,0.25,77.4,24.0,0.426064568,4356.945873
412,412,12.5,0.25,0.38,0.5,0.5,77.4,1.0,0.631033926,8538.462001
48,48,25.0,0.25,0.25,0.25,0.38,77.4,16.0,0.462101998,5221.357411
715,715,25.0,0.5,0.38,0.5,0.63,94.6,16.0,0.527591617,6327.477365
313,313,12.5,0.25,0.25,0.75,0.5,94.6,24.0,0.455384537,5192.883148
474,474,25.0,0.5,0.25,0.38,0.63,86.0,1.0,0.533820778,6731.618436
214,214,12.5,0.25,0.25,0.5,0.5,94.6,1.0,0.582954458,7243.226111
156,156,12.5,0.25,0.25,0.38,0.38,77.4,1.0,0.605758307,7669.811819
76,76,12.5,0.25,0.25,0.25,0.38,77.4,1.0,0.599556267,7570.48492
64,64,12.5,0.25,0.25,0.25,0.25,77.4,34.0,0.481204499,5086.609905
719,719,25.0,0.5,0.38,0.5,0.63,94.6,24.0,0.425493214,4575.769909
52,52,12.5,0.25,0.25,0.25,0.25,86.0,1.0,0.561962455,6691.043218
346,346,12.5,0.25,0.25,0.75,0.75,94.6,34.0,0.450593944,4813.452846
422,422,12.5,0.25,0.38,0.5,0.63,94.6,1.0,0.631790257,8284.85461
758,758,25.0,0.5,0.38,0.63,0.5,77.4,34.0,0.496826261,5700.243243
317,317,12.5,0.25,0.25,0.75,0.5,69.7,16.0,0.527724447,6920.084268
235,235,12.5,0.25,0.25,0.5,0.63,77.4,16.0,0.589306067,7560.205645
299,299,12.5,0.25,0.25,0.63,0.75,77.4,16.0,0.600086778,7835.767792
436,436,12.5,0.25,0.38,0.5,0.75,86.0,1.0,0.644329005,8655.676437
230,230,12.5,0.25,0.25,0.5,0.63,94.6,1.0,0.595712725,7626.617335
118,118,12.5,0.25,0.25,0.25,0.75,94.6,1.0,0.609612922,7945.187841
253,253,12.5,0.25,0.25,0.5,0.75,69.7,16.0,0.55235942,7103.508943
157,157,12.5,0.25,0.25,0.38,0.38,69.7,16.0,0.520637077,6376.662565
278,278,12.5,0.25,0.25,0.63,0.63,94.6,1.0,0.592156153,7297.732097
172,172,12.5,0.25,0.25,0.38,0.5,77.4,1.0,0.610691292,7935.094765
198,198,12.5,0.25,0.25,0.38,0.75,94.6,1.0,0.601404506,7517.440772
310,310,12.5,0.25,0.25,0.75,0.5,94.6,1.0,0.585313688,7284.814779
575,575,25.0,0.5,0.25,0.63,0.63,94.6,24.0,0.383581787,3948.986911
97,97,12.5,0.25,0.25,0.25,0.5,69.7,24.0,0.509560238,6254.829217
536,536,25.0,0.5,0.25,0.5,0.63,69.7,34.0,0.384981338,4112.893488
587,587,25.0,0.5,0.25,0.63,0.75,94.6,16.0,0.496270554,5750.881068
175,175,12.5,0.25,0.25,0.38,0.5,77.4,24.0,0.551775489,6628.76363
476,476,25.0,0.5,0.25,0.38,0.63,94.6,1.0,0.494199141,5773.625809
765,765,20.0,18.43,0.042,0.147,0.021,86.0,3.77,0.55788532,6276.410544
424,424,12.5,0.25,0.38,0.5,0.63,86.0,34.0,0.522435446,5954.513153
530,530,25.0,0.5,0.25,0.5,0.63,77.4,1.0,0.532728714,6801.49205
181,181,12.5,0.25,0.25,0.38,0.63,94.6,16.0,0.577201619,7107.609758
604,604,25.0,0.5,0.25,0.75,0.5,94.6,1.0,0.502398084,6019.262475
352,352,12.5,0.25,0.25,0.75,0.75,77.4,34.0,0.57272491,7019.694384
17,17,37.5,0.25,0.25,0.25,0.25,94.6,24.0,0.279535801,2508.375673
294,294,12.5,0.25,0.25,0.63,0.75,94.6,1.0,0.603371908,7675.963523
267,267,12.5,0.25,0.25,0.63,0.5,77.4,16.0,0.578889093,7127.164572
261,261,12.5,0.25,0.25,0.63,0.5,94.6,16.0,0.565239387,6860.396428
774,774,20.0,0.537,0.117,0.409,0.058,86.0,24.0,0.404617089,4203.027624
306,306,12.5,0.25,0.25,0.63,0.75,69.7,34.0,0.476178181,5596.226357
713,713,25.0,0.5,0.38,0.5,0.63,86.0,16.0,0.553663086,6948.2288
271,271,12.5,0.25,0.25,0.63,0.5,77.4,24.0,0.560709036,6887.466493
170,170,12.5,0.25,0.25,0.38,0.5,94.6,34.0,0.382036352,3826.172262
700,700,25.0,0.5,0.38,0.5,0.5,94.6,1.0,0.525947983,6422.922094
196,196,12.5,0.25,0.25,0.38,0.75,86.0,1.0,0.630637776,8357.067222
45,45,25.0,0.25,0.25,0.25,0.38,86.0,34.0,0.350992769,3385.364224
533,533,25.0,0.5,0.25,0.5,0.63,77.4,24.0,0.47771355,5602.022929
62,62,12.5,0.25,0.25,0.25,0.25,69.7,1.0,0.511480554,6244.195761
78,78,12.5,0.25,0.25,0.25,0.38,69.7,1.0,0.54054056,6801.323934
584,584,25.0,0.5,0.25,0.63,0.63,69.7,34.0,0.397461189,4323.930991
392,392,12.5,0.25,0.38,0.38,0.75,86.0,34.0,0.530112463,6249.470817
395,395,12.5,0.25,0.38,0.38,0.75,77.4,16.0,0.62809913,8307.38018
140,140,12.5,0.25,0.25,0.38,0.25,77.4,1.0,0.578114733,7181.425216
315,315,12.5,0.25,0.25,0.75,0.5,77.4,16.0,0.583697575,7417.81497
724,724,25.0,0.5,0.38,0.5,0.63,69.7,1.0,0.496618271,6467.654764
127,127,12.5,0.25,0.25,0.25,0.75,77.4,24.0,0.585377664,7322.609141
231,231,12.5,0.25,0.25,0.5,0.63,86.0,24.0,0.550116044,6626.851498
380,380,12.5,0.25,0.38,0.38,0.63,77.4,1.0,0.638787728,8634.775829
720,720,25.0,0.5,0.38,0.5,0.63,94.6,34.0,0.395911623,4201.435956
144,144,12.5,0.25,0.25,0.38,0.25,77.4,34.0,0.488308859,5402.484081
272,272,12.5,0.25,0.25,0.63,0.5,77.4,34.0,0.543972464,6451.100519
21,21,37.5,0.25,0.25,0.25,0.25,69.7,16.0,0.392540298,3911.422247
616,616,25.0,0.5,0.25,0.75,0.5,69.7,34.0,0.408797854,4574.813873
661,661,25.0,0.5,0.38,0.38,0.5,77.4,24.0,0.521414646,6409.140005
35,35,25.0,0.25,0.25,0.25,0.25,69.7,16.0,0.407373541,4334.841218
483,483,25.0,0.5,0.25,0.38,0.63,69.7,16.0,0.476364762,5867.997216
159,159,12.5,0.25,0.25,0.38,0.38,77.4,24.0,0.536209474,6299.226358
312,312,12.5,0.25,0.25,0.75,0.5,86.0,34.0,0.467741485,5136.93247
77,77,12.5,0.25,0.25,0.25,0.38,69.7,16.0,0.517721232,6198.064956
375,375,12.5,0.25,0.38,0.38,0.63,86.0,24.0,0.584016198,7270.318318
625,625,25.0,0.5,0.25,0.75,0.63,77.4,16.0,0.508296527,6301.034422
285,285,12.5,0.25,0.25,0.63,0.63,69.7,16.0,0.536128074,6771.674965
109,109,12.5,0.25,0.25,0.25,0.63,69.7,16.0,0.54613583,6898.390949
362,362,12.5,0.25,0.38,0.38,0.5,94.6,34.0,0.424394344,4480.07
303,303,12.5,0.25,0.25,0.63,0.75,77.4,24.0,0.581744319,7206.901956
101,101,12.5,0.25,0.25,0.25,0.63,94.6,16.0,0.572046486,6960.107506
319,319,12.5,0.25,0.25,0.75,0.5,77.4,24.0,0.556715923,6671.072643
92,92,12.5,0.25,0.25,0.25,0.5,77.4,1.0,0.613333283,7825.874922
249,249,12.5,0.25,0.25,0.5,0.75,94.6,24.0,0.477961423,5454.633853
612,612,25.0,0.5,0.25,0.75,0.5,69.7,1.0,0.46424992,5902.33288
369,369,12.5,0.25,0.38,0.38,0.5,69.7,24.0,0.55195445,7080.040043
728,728,25.0,0.5,0.38,0.5,0.63,69.7,34.0,0.427020997,4644.601168
354,354,12.5,0.25,0.25,0.75,0.75,69.7,34.0,0.480386371,5535.05665
481,481,25.0,0.5,0.25,0.38,0.63,77.4,16.0,0.510102557,6115.947066
764,764,20.0,0.537,0.117,0.409,0.058,86.0,3.77,0.408178454,4225.961314
236,236,12.5,0.25,0.25,0.5,0.63,77.4,1.0,0.607690073,7895.020796
211,211,12.5,0.25,0.25,0.5,0.5,86.0,16.0,0.585434474,7380.633803
613,613,25.0,0.5,0.25,0.75,0.5,77.4,24.0,0.477641079,5639.445205
165,165,12.5,0.25,0.25,0.38,0.5,94.6,16.0,0.542133036,6281.91711
188,188,12.5,0.25,0.25,0.38,0.63,77.4,1.0,0.61854944,8175.456195
338,338,12.5,0.25,0.25,0.75,0.63,69.7,34.0,0.460960916,5305.743635
475,475,25.0,0.5,0.25,0.38,0.63,94.6,16.0,0.47973321,5636.308737
34,34,25.0,0.25,0.25,0.25,0.25,77.4,1.0,0.502621602,5831.7066
662,662,25.0,0.5,0.38,0.38,0.5,77.4,34.0,0.504169517,5794.891846
513,513,25.0,0.5,0.25,0.5,0.5,77.4,16.0,0.497274998,5964.791108
773,773,40.0,0.537,0.117,0.409,0.058,86.0,3.77,0.342841074,3373.436842
548,548,25.0,0.5,0.25,0.5,0.75,69.7,1.0,0.461465413,6058.648764
482,482,25.0,0.5,0.25,0.38,0.63,77.4,1.0,0.536899811,6747.597792
645,645,25.0,0.5,0.25,0.75,0.75,77.4,24.0,0.490016595,5830.89362
155,155,12.5,0.25,0.25,0.38,0.38,77.4,16.0,0.572725923,7024.748359
406,406,12.5,0.25,0.38,0.5,0.5,94.6,1.0,0.619887727,8104.934974
364,364,12.5,0.25,0.38,0.38,0.5,77.4,1.0,0.635315515,8652.043342
363,363,12.5,0.25,0.38,0.38,0.5,77.4,16.0,0.610329712,7920.061748
327,327,12.5,0.25,0.25,0.75,0.63,86.0,24.0,0.555210358,6554.976861
243,243,12.5,0.25,0.25,0.5,0.75,86.0,16.0,0.608930974,7761.15796
200,200,12.5,0.25,0.25,0.38,0.75,86.0,34.0,0.490320807,5601.205307
66,66,12.5,0.25,0.25,0.25,0.25,69.7,34.0,0.406644523,4247.508926
647,647,25.0,0.5,0.25,0.75,0.75,69.7,24.0,0.452690306,5495.365345
344,344,12.5,0.25,0.25,0.75,0.75,86.0,34.0,0.500189951,5729.569636
386,386,12.5,0.25,0.38,0.38,0.63,69.7,34.0,0.506987743,6060.283822
12,12,37.5,0.25,0.25,0.25,0.25,86.0,1.0,0.437374738,4768.594369
161,161,12.5,0.25,0.25,0.38,0.38,69.7,24.0,0.481472551,5741.210297
517,517,25.0,0.5,0.25,0.5,0.5,77.4,24.0,0.466297848,5299.661325
293,293,12.5,0.25,0.25,0.63,0.75,94.6,16.0,0.595065655,7529.175053
518,518,25.0,0.5,0.25,0.5,0.5,77.4,34.0,0.449877074,4968.601171
571,571,25.0,0.5,0.25,0.63,0.63,94.6,16.0,0.479965751,5514.667479
534,534,25.0,0.5,0.25,0.5,0.63,77.4,34.0,0.473458531,5439.421503
573,573,25.0,0.5,0.25,0.63,0.63,86.0,24.0,0.454725217,5046.457343
334,334,12.5,0.25,0.25,0.75,0.63,69.7,1.0,0.527742687,6869.777604
644,644,25.0,0.5,0.25,0.75,0.75,69.7,1.0,0.478000734,6260.473628
229,229,12.5,0.25,0.25,0.5,0.63,94.6,16.0,0.579179402,7163.9441
569,569,25.0,0.5,0.25,0.63,0.63,86.0,16.0,0.509782413,6202.327017
416,416,12.5,0.25,0.38,0.5,0.5,77.4,34.0,0.583077181,7150.9817
477,477,25.0,0.5,0.25,0.38,0.63,86.0,24.0,0.45682495,4966.779453
749,749,25.0,0.5,0.38,0.63,0.5,86.0,24.0,0.485336051,5605.221001
597,597,25.0,0.5,0.25,0.63,0.75,77.4,24.0,0.4965362,6135.699979
689,689,25.0,0.5,0.38,0.38,0.75,77.4,16.0,0.548367299,6958.174787
15,15,37.5,0.25,0.25,0.25,0.25,86.0,24.0,0.350136522,3387.785165
245,245,12.5,0.25,0.25,0.5,0.75,94.6,16.0,0.595052932,7483.736315
634,634,25.0,0.5,0.25,0.75,0.75,86.0,1.0,0.539252868,6994.248011
6,6,37.5,0.75,0.25,0.25,0.25,94.6,24.0,0.284442614,2625.269164
524,524,25.0,0.5,0.25,0.5,0.63,94.6,1.0,0.488047919,5637.984297
345,345,12.5,0.25,0.25,0.75,0.75,94.6,24.0,0.488014406,5675.721494
104,104,12.5,0.25,0.25,0.25,0.63,86.0,34.0,0.467569149,5150.942889
460,460,25.0,0.5,0.25,0.38,0.5,94.6,1.0,0.477832221,5524.145415
408,408,12.5,0.25,0.38,0.5,0.5,86.0,34.0,0.501777434,5735.133035
454,454,12.5,0.25,0.38,0.63,0.5,94.6,1.0,0.617635584,8086.388809
90,90,12.5,0.25,0.25,0.25,0.5,94.6,34.0,0.369603345,3708.205024
487,487,25.0,0.5,0.25,0.38,0.63,69.7,24.0,0.442693354,5016.741592
407,407,12.5,0.25,0.38,0.5,0.5,86.0,24.0,0.576602444,7064.169775
